id lokacije; id vrste vozila; broj mjesta za vrstu vozila; raspoloživi broj vrsta vozila
1; 1; 5; 3
1; 2; 5; 3
1; 3; 5; 3
1; 4; 2; 2
2; 1; 3; 0
2; 2; 3; 1
2; 3; 2; 2
2; 4; 2; 1
3; 1; 0; 0
3; 2; 0; 0
3; 3; 0; 0
3; 4; 4; 4
4; 1; 5; 1
4; 2; 5; 5
4; 3; 5; 5
4; 4; 5; 4
5; 1; 2; 2
5; 2; 0; 0
5; 3; 0; 0
5; 4; 2; 2
6; 1; 2; 2
6; 2; 2; 2
6; 3; 2; 0
6; 4; 2; 0
7; 1; 5; 5
7; 2; 5; 1
7; 3; 5; 1
7; 4; 2; 2
8; 1; 0; 0
8; 2; 0; 0
8; 3; 2; 1
8; 4; 2; 1
9; 1; 3; 2
9; 2; 3; 2
9; 3; 3; 2
9; 4; 2; 2
10; 1; 0; 0
10; 2; 0; 0
10; 3; 2; 2
10; 4; 1; 1
11; 1; 2; 1
11; 2; 2; 2
11; 3; 2; 2
11; 4; 2; 1
12; 1; 5; 4
12; 2; 2; 2
12; 3; 2; 2
12; 4; 2; 1
13; 1; 5; 5
13; 2; 5; 0
13; 3; 0; 0
13; 4; 4; 3
14; 1; 5; 0
14; 2; 5; 0
14; 3; 0; 0
14; 4; 2; 0
